# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	202111	204440	+	NM_001123738.2		NP_001117210.1	MAP kinase 11	MPK11	839523	AT1G01560	1595	1595	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	202345	204189	+	NP_001117210.1		NM_001123738.2	MAP kinase 11	MPK11	839523	AT1G01560	1110	369	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	681331	687368	-	NM_001331374.1		NP_001320193.1	hypothetical protein		839380	AT1G02990	4602	4602	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	681396	687315	-	NM_001197965.1		NP_001184894.1	hypothetical protein		839380	AT1G02990	4379	4379	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	681396	687315	-	NM_001331376.1		NP_001320195.1	hypothetical protein		839380	AT1G02990	4387	4387	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	681724	686996	-	NP_001320193.1		NM_001331374.1	hypothetical protein		839380	AT1G02990	3837	1278	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	681724	686996	-	NP_001320195.1		NM_001331376.1	hypothetical protein		839380	AT1G02990	3837	1278	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	681724	686996	-	NP_001184894.1		NM_001197965.1	hypothetical protein		839380	AT1G02990	3837	1278	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	811033	813086	-	NM_100212.1		NP_171829.1	agenet domain protein (DOMAIN OF UNKNOWN FUNCTION 724 1)	ATDUF1	838627	AT1G03300	2013	2013	partial
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	811033	813086	-	NP_171829.1		NM_100212.1	agenet domain protein (DOMAIN OF UNKNOWN FUNCTION 724 1)	ATDUF1	838627	AT1G03300	2013	670	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	868853	871308	-	NM_100230.7		NP_171847.4	Coproporphyrinogen III oxidase	LIN2	839489	AT1G03475	1743	1743	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	869302	871175	-	NP_171847.4		NM_100230.7	Coproporphyrinogen III oxidase	LIN2	839489	AT1G03475	1161	386	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1119699	1122786	-	NM_100303.4		NP_171918.1	3-ketoacyl-CoA synthase 2	KCS2	839578	AT1G04220	2044	2044	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1119853	1122483	-	NP_171918.1		NM_100303.4	3-ketoacyl-CoA synthase 2	KCS2	839578	AT1G04220	1587	528	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1331466	1333651	-	NM_100353.4		NP_171967.1	vesicle-associated membrane protein 721	VAMP721	839419	AT1G04750	1276	1276	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1331857	1333426	-	NP_171967.1		NM_100353.4	vesicle-associated membrane protein 721	VAMP721	839419	AT1G04750	660	219	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1334533	1336359	+	NM_100354.2		NP_171968.1	vesicle-associated membrane protein 726	VAMP726	839424	AT1G04760	1179	1179	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1334599	1336704	+	NM_001331501.1		NP_001323352.1	vesicle-associated membrane protein 726	VAMP726	839424	AT1G04760	1379	1379	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1334760	1336070	+	NP_001323352.1		NM_001331501.1	vesicle-associated membrane protein 726	VAMP726	839424	AT1G04760	663	220	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1334760	1336070	+	NP_171968.1		NM_100354.2	vesicle-associated membrane protein 726	VAMP726	839424	AT1G04760	663	220	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1375824	1379228	-	NM_100366.4		NP_171980.1	HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein		839388	AT1G04880	1767	1767	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1376106	1378264	-	NP_171980.1		NM_100366.4	HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein		839388	AT1G04880	1347	448	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1754130	1761817	+	NM_001331587.1		NP_001321563.1	trithorax-like protein 2	ATX2	837093	AT1G05830	4166	4166	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1754130	1761817	+	NM_001331588.1		NP_001321564.1	trithorax-like protein 2	ATX2	837093	AT1G05830	4094	4094	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1754160	1761909	+	NM_100464.7		NP_172074.6	trithorax-like protein 2	ATX2	837093	AT1G05830	3983	3983	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1754244	1761817	+	NM_001083995.4		NP_001077464.4	trithorax-like protein 2	ATX2	837093	AT1G05830	3799	3799	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1754452	1761225	+	NP_001321564.1		NM_001331588.1	trithorax-like protein 2	ATX2	837093	AT1G05830	3252	1083	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1754452	1761225	+	NP_001321563.1		NM_001331587.1	trithorax-like protein 2	ATX2	837093	AT1G05830	3252	1083	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1754452	1761225	+	NP_172074.6		NM_100464.7	trithorax-like protein 2	ATX2	837093	AT1G05830	3252	1083	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1754452	1761225	+	NP_001077464.4		NM_001083995.4	trithorax-like protein 2	ATX2	837093	AT1G05830	3252	1083	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1868989	1873730	-	NM_001197992.2		NP_001184921.1	basic helix loop helix (bHLH) DNA-binding superfamily protein	EMB1444	6241227	AT1G06150	2980	2980	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1868989	1873730	-	NM_001331616.1		NP_001318931.1	basic helix loop helix (bHLH) DNA-binding superfamily protein	EMB1444	6241227	AT1G06150	2986	2986	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1869228	1873194	-	NP_001184921.1		NM_001197992.2	basic helix loop helix (bHLH) DNA-binding superfamily protein	EMB1444	6241227	AT1G06150	2205	734	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1869228	1873194	-	NP_001318931.1		NM_001331616.1	basic helix loop helix (bHLH) DNA-binding superfamily protein	EMB1444	6241227	AT1G06150	2211	736	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1897129	1899237	+	NM_100502.4		NP_563762.1	ENTH/VHS/GAT family protein		837130	AT1G06210	1584	1584	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	1897567	1898986	+	NP_563762.1		NM_100502.4	ENTH/VHS/GAT family protein		837130	AT1G06210	1152	383	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2475226	2476167	+	NM_202060.2		NP_973789.1	Expressed protein		2745747	AT1G07985	942	942	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2475508	2475942	+	NP_973789.1		NM_202060.2	Expressed protein		2745747	AT1G07985	435	144	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2649459	2657110	+	NM_100715.4		NP_172318.1	BRI1 suppressor 1 (BSU1)-like 2	BSL2	837362	AT1G08420	4103	4103	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2649959	2656564	+	NP_172318.1		NM_100715.4	BRI1 suppressor 1 (BSU1)-like 2	BSL2	837362	AT1G08420	3057	1018	
mRNA		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2867259	2870656	+	NM_179287.2		NP_849618.1	ERD (early response to dehydration) six-like 1	ESL1	837413	AT1G08920	1917	1917	
CDS		GCF_000001735.3	Primary Assembly	chromosome	1	NC_003070.9	2867446	2870360	+	NP_849618.1		NM_179287.2	ERD (early response to dehydration) six-like 1	ESL1	837413	AT1G08920	1434	477	
