# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	281840	283744	-	XM_002892010.1		XP_002892056.1	mitogen-activated protein kinase 11		9328118	ARALYDRAFT_887292	1205	1205	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	281861	283724	-	XP_002892056.1		XM_002892010.1	mitogen-activated protein kinase 11		9328118	ARALYDRAFT_887292	1164	387	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	650407	652252	+	XM_002889357.1		XP_002889403.1	S-adenosylmethionine synthetase		9328174	ARALYDRAFT_470210	1458	1458	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	650860	652040	+	XP_002889403.1		XM_002889357.1	S-adenosylmethionine synthetase		9328174	ARALYDRAFT_470210	1137	378	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	829172	834582	-	XM_002892095.1		XP_002892141.1	predicted protein		9325495	ARALYDRAFT_677892	3864	3864	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	829172	834582	-	XP_002892141.1		XM_002892095.1	hypothetical protein		9325495	ARALYDRAFT_677892	3864	1287	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	974105	976111	-	XM_002892109.1		XP_002892155.1	hypothetical protein		9325516	ARALYDRAFT_311431	1950	1950	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	974105	976111	-	XP_002892155.1		XM_002892109.1	hypothetical protein		9325516	ARALYDRAFT_311431	1950	649	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	1030216	1032110	-	XM_002892117.1		XP_002892163.1	coproporphyrinogen III oxidase		9328225	ARALYDRAFT_887500	1204	1204	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	1030236	1032090	-	XP_002892163.1		XM_002892117.1	coproporphyrinogen III oxidase		9328225	ARALYDRAFT_887500	1164	387	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	1354455	1357181	-	XM_002892155.1		XP_002892201.1	hypothetical protein		9325562	ARALYDRAFT_470398	1619	1619	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	1354457	1357139	-	XP_002892201.1		XM_002892155.1	hypothetical protein		9325562	ARALYDRAFT_470398	1575	524	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	1610390	1612031	-	XM_002892193.1		XP_002892239.1	vesicle-associated membrane protein 7B	VAMP7B	9328301	ARALYDRAFT_887649	700	700	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	1610410	1612011	-	XP_002892239.1		XM_002892193.1	vesicle-associated membrane protein 7B	VAMP7B	9328301	ARALYDRAFT_887649	660	219	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	1613257	1614545	+	XM_002889477.1		XP_002889523.1	vesicle-associated membrane protein 7B	VAMP7B	9328302	ARALYDRAFT_887650	703	703	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	1613277	1614525	+	XP_002889523.1		XM_002889477.1	vesicle-associated membrane protein 7B	VAMP7B	9328302	ARALYDRAFT_887650	663	220	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302555.1	1661568	1664743	-	XM_002892203.1		XP_002892249.1	high mobility group family protein		9328311	ARALYDRAFT_470473	1519	1519	
